ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.506487767,202.2859379,17087.0769,6.201982767,326.6623683,481.7719343,16.53518593,46.20574791,3.548775589,0
6.643935775,151.8896001,10909.19459,3.749625148,240.9367221,437.9090052,15.26474235,64.2039637,3.812952926,0
5.03377399,155.3214775,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,63.19330599,3.244948477,0
6.912607562,155.7404952,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,55.50746847,2.612248953,0
7.977635991,245.8951304,32170.06916,9.635636083,399.5831549,473.6624528,11.7283382,23.8170199,3.5521295,0
6.078335837,197.5019119,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,41.86595951,4.201580906,0
6.242414484,191.9087295,28149.41179,7.1304368,319.3067851,448.2425267,19.37009087,60.93948098,4.508705098,0
6.06335479,160.7673113,14775.1456,7.484103647,305.8285533,327.2702387,12.30901596,69.03845387,3.467336915,0
8.129585514,177.8989666,27834.2177,9.006007747,334.4385388,397.0214276,15.93626168,81.3907585,3.362537135,0
9.562405944,202.0136426,13041.82914,5.820655208,327.118824,433.3816667,14.13906591,63.54899266,3.762719837,0
8.167792632,200.9137547,27141.3629,7.262416639,344.1611343,525.5987875,16.142284,66.23143554,4.289395484,0
8.594416135,270.0227059,15791.67535,5.912690624,,672.5569992,20.18405147,54.96128525,3.568991708,0
,167.3861273,20944.62081,4.963124049,,566.339294,11.3188066,,3.679795035,0
6.825467901,187.0517097,46140.12685,6.137757462,352.7021822,373.4272355,12.60638165,58.75220132,3.027449578,0
7.861177701,204.2742411,25145.02412,7.923315375,338.2138034,469.4869612,15.99341035,86.16729829,4.157656628,0
4.96577356,220.8486386,21802.7449,6.250578031,311.598136,386.4133315,18.03523754,53.90817735,3.421766849,0
6.207432968,192.9370271,13442.60347,5.81902294,325.9065618,533.7958508,14.68753934,60.48503329,3.549298841,0
,157.0012874,20067.10533,8.071051029,,490.9097122,17.32294643,71.96926138,4.417559791,0
,237.6773831,26009.07526,7.074531321,372.6002964,344.7679244,14.44223828,72.69624049,3.706601792,0
9.489972878,234.0699652,15513.74038,4.735332224,,277.9700697,16.69821637,81.42717402,4.219967522,0
7.830976343,190.7990441,7695.063935,4.845205476,292.5158245,507.4454883,15.52665845,85.0095059,4.588784657,0
4.430281212,139.6857588,28862.25717,8.961372377,298.3794584,434.7812671,17.29929446,63.04250092,4.384565156,0
7.240739639,201.1868045,23783.09956,7.75128544,340.9836834,579.2203941,13.4863791,62.6502355,3.556297467,0
,260.2053596,19517.7248,8.764168678,368.8210368,251.0208987,12.80458815,48.65189043,3.665521764,0
6.867301322,174.1849764,24112.15347,5.529942236,297.6555749,484.1229389,11.482687,65.30441362,3.82359504,0
6.129637015,200.2781822,30989.94841,8.830102319,348.8681541,341.3885767,9.300117278,79.55361207,4.615886181,0
7.917049443,278.056321,27192.28056,9.220128211,424.7879959,358.7817362,15.05431287,56.83960203,3.659484625,0
6.511618075,181.8734217,29136.81462,7.685775096,345.7516385,475.3413507,12.32123216,52.43761714,4.850433708,0
5.323815584,232.36858,37625.75268,8.879822934,380.576472,580.8977004,12.29380305,55.31001941,2.880721846,0
6.769572869,168.9370725,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,62.00157128,5.22054027,0
5.87797404,141.6152867,13652.2932,5.701659125,279.7824004,538.4954044,12.03404227,67.90725801,4.032259504,0
9.534021716,201.955208,9472.61492,6.105708489,319.5764202,259.6368031,15.62561667,,2.768238928,0
6.340027628,225.0281485,45222.50667,5.809031562,363.0057551,435.5004571,11.38593727,80.67031136,3.686001324,0
8.66159243,284.0983515,27088.47646,7.897856522,,512.2773101,16.91214158,72.46576277,3.67043101,0
5.653506135,146.5902323,16462.46009,6.501596205,299.6446114,272.4405583,13.79526446,87.82258511,5.198985504,0
6.626012184,112.2994855,25839.8941,7.658746878,312.2470431,327.2480786,19.40914656,85.78510284,4.194313129,0
7.793833573,176.8664829,18344.68036,7.567676884,338.2295973,371.216973,9.039042454,76.28807631,4.172935335,0
7.59312765,261.5661726,18371.0572,6.297542536,,387.6295723,16.57598077,51.83094808,3.377337638,0
7.362736502,185.692181,16268.44861,5.317019275,316.9186485,419.2584481,16.02424609,64.67891377,4.408513182,0
9.320305445,129.8238585,16002.13832,4.405034532,271.6705616,499.8441671,13.0768589,82.8375829,4.205809732,0
3.719791644,248.8592673,23590.93213,7.683742221,351.5554822,427.4959312,20.39378167,38.6049369,2.718397734,0
6.655605026,216.4411715,20571.84571,8.984236816,,336.8314548,17.74599613,71.70430486,2.951644715,0
9.868877881,214.1662353,15326.85591,3.35159782,297.0841735,424.2928308,19.18844138,70.0705141,3.355489791,0
5.590614436,229.1921395,35370.73552,7.98964067,,469.4130904,13.28155615,76.9927158,4.726845017,0
5.554436511,229.1228286,31344.46039,7.761431064,,306.872526,13.97480047,87.27337543,2.095914087,0
4.126528715,125.4748835,11215.9459,5.366011336,261.4447977,445.2414569,18.57592068,86.43365536,4.460200984,0
5.970035657,230.4493293,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,39.55424883,5.428674072,0
,229.7713495,16162.26231,4.933662227,,448.8460364,8.816486899,,4.600927569,0
8.369154354,183.5003784,12975.90033,6.600853064,315.9011216,493.4654399,12.98710649,87.02941032,3.629749331,0
6.284248242,190.0176486,12206.68121,7.910711202,,395.2610634,13.24613956,58.92772621,3.377132289,0
11.26782838,161.8963622,6040.369868,7.20541412,,316.5358711,11.76830935,25.52526693,4.153347001,0
9.298018008,163.0388346,13990.5134,4.24970162,,399.4773578,15.36588356,83.92316815,3.681324244,0
7.895469246,154.2657803,7769.616119,7.205262042,258.3128794,407.7322172,16.42004096,63.01601758,4.2369473,0
7.947485786,269.809407,34440.77343,6.95828321,390.1042229,425.627814,13.74926131,56.63581132,3.70085384,0
10.02615916,224.2663577,14962.17783,7.428313128,336.9729496,517.5128415,18.85851888,65.36345158,4.182277582,0
6.48819324,225.4819088,34864.42789,8.951692285,385.5056354,324.5098409,12.6965448,97.11286019,4.592073571,0
5.869736755,207.7254552,22244.21824,6.59776434,352.563987,465.6164808,14.83810023,77.82273707,4.689315048,0
